Image,Class,Parent,X,Y,Layer,Nearest_Distance
A22-312CD34NEUN.svs,Neuron,Layer2,5257.6,1206.0,Layer2,51.48048173822771
A22-312CD34NEUN.svs,Neuron,Layer2,5226.2,1212.5,Layer2,22.907858913481707
A22-312CD34NEUN.svs,Neuron,Layer2,5271.8,1215.1,Layer2,35.24953900407792
A22-312CD34NEUN.svs,Neuron,Layer2,5166.0,1213.2,Layer2,37.322647280170436
A22-312CD34NEUN.svs,Neuron,Layer2,5129.3,1216.8,Layer2,74.16205229091221
A22-312CD34NEUN.svs,Neuron,Layer2,5067.7,1224.8,Layer2,41.694124286282985
A22-312CD34NEUN.svs,Neuron,Layer2,5237.2,1225.2,Layer2,36.41565597377004
A22-312CD34NEUN.svs,Neuron,Layer2,5324.7,1221.5,Layer2,37.69482723133194
A22-312CD34NEUN.svs,Neuron,Layer2,5080.0,1228.2,Layer2,39.3635618307084
A22-312CD34NEUN.svs,Neuron,Layer2,5374.9,1226.5,Layer2,81.85267252814648
A22-312CD34NEUN.svs,Neuron,Layer2,5348.6,1229.4,Layer2,56.60883323298579
A22-312CD34NEUN.svs,Neuron,Layer2,5263.8,1236.1,Layer2,30.543902828551747
A22-312CD34NEUN.svs,Neuron,Layer2,5017.1,1231.0,Layer2,38.242646351945815
A22-312CD34NEUN.svs,Neuron,Layer2,4990.2,1239.2,Layer2,38.09160012391195
A22-312CD34NEUN.svs,Neuron,Layer2,5010.9,1240.2,Layer2,29.04513728664396
A22-312CD34NEUN.svs,Neuron,Layer2,5152.1,1240.8,Layer2,58.79328192914539
A22-312CD34NEUN.svs,Neuron,Layer2,4965.6,1244.7,Layer2,52.22451531608506
A22-312CD34NEUN.svs,Neuron,Layer2,5064.1,1246.1,Layer2,21.284971223847183
A22-312CD34NEUN.svs,Neuron,Layer2,5184.0,1256.8,Layer2,48.87228253314955
A22-312CD34NEUN.svs,Neuron,Layer2,4977.9,1256.4,Layer2,38.080178571010336
A22-312CD34NEUN.svs,Neuron,Layer2,4940.2,1260.7,Layer2,45.16015943284527
A22-312CD34NEUN.svs,Neuron,Layer2,4967.6,1261.5,Layer2,35.402259814876324
A22-312CD34NEUN.svs,Neuron,Layer2,5029.1,1260.2,Layer2,17.700282483621642
A22-312CD34NEUN.svs,Neuron,Layer2,4928.8,1262.9,Layer2,51.288985172256744
A22-312CD34NEUN.svs,Neuron,Layer2,5136.7,1268.0,Layer2,66.21933252457303
A22-312CD34NEUN.svs,Neuron,Layer2,5102.4,1272.2,Layer2,32.42298567374659
A22-312CD34NEUN.svs,Neuron,Layer2,4904.5,1271.2,Layer2,67.76267409127225
A22-312CD34NEUN.svs,Neuron,Layer2,4947.0,1276.4,Layer2,28.780027797067756
A22-312CD34NEUN.svs,Neuron,Layer2,4852.5,1278.8,Layer2,61.49739831895321
A22-312CD34NEUN.svs,Neuron,Layer2,4900.8,1286.1,Layer2,67.27257985241799
A22-312CD34NEUN.svs,Neuron,Layer2,4930.8,1285.4,Layer2,38.17342007208646
A22-312CD34NEUN.svs,Neuron,Layer2,5051.2,1289.6,Layer2,12.713772060250195
A22-312CD34NEUN.svs,Neuron,Layer2,4843.6,1292.2,Layer2,45.68457069952621
A22-312CD34NEUN.svs,Neuron,Layer2,5041.7,1294.1,Layer2,21.44621178670012
A22-312CD34NEUN.svs,Neuron,Layer2,5025.7,1294.6,Layer2,28.14000710731949
A22-312CD34NEUN.svs,Neuron,Layer2,4821.9,1296.9,Layer2,29.285149820343808
A22-312CD34NEUN.svs,Neuron,Layer2,5000.4,1299.4,Layer2,33.13080137877781
A22-312CD34NEUN.svs,Neuron,Layer2,5057.5,1301.9,Layer2,24.390571949013626
A22-312CD34NEUN.svs,Neuron,Layer2,5069.1,1305.8,Layer2,31.351714466676658
A22-312CD34NEUN.svs,Neuron,Layer2,5047.6,1307.4,Layer2,30.80389585750477
A22-312CD34NEUN.svs,Neuron,Layer2,4888.9,1312.7,Layer2,77.92329561819082
A22-312CD34NEUN.svs,Neuron,Layer2,4814.2,1312.8,Layer2,11.704699910719564
A22-312CD34NEUN.svs,Neuron,Layer2,4931.2,1312.8,Layer2,39.35492345310807
